Número da Issue,ID,Quant. comentários,Título
87,MDU6SXNzdWUxOTczMjM4NjA=,57,Translation: Russian
90,MDU6SXNzdWUxOTc0Mjg0Njg=,34,Translation: Turkish 
118,MDU6SXNzdWUxOTg4NDc0OTQ=,30,Translation : Korean
39,MDU6SXNzdWUxODMyMjAwNzA=,30,Translations are welcome
81,MDU6SXNzdWUxOTY5OTI2NDI=,28,Translation: Hindi
131,MDU6SXNzdWUxOTk5NTQ3OTM=,20,A little bad news. I didn't get hired.
275,MDU6SXNzdWUyNzI5MzgzMTM=,16,How many years I need to finish all of this stuff?
80,MDU6SXNzdWUxOTY5OTI1Njg=,16,Translation: Spanish
92,MDU6SXNzdWUxOTc0ODM0MjY=,15,Translation: Vietnamese
98,MDU6SXNzdWUxOTgwNjIwOTM=,14,Translations: Arabic 
89,MDU6SXNzdWUxOTczNjMyNjY=,14,Translation : French
101,MDU6SXNzdWUxOTgxODAxOTI=,13,Translation: Bahasa Indonesia
219,MDU6SXNzdWUyMzgxMTI1MTQ=,12,CS:61B Videos
182,MDU6SXNzdWUyMTg5NTcwOTM=,12,Amazon interview experience
186,MDU6SXNzdWUyMjEyMzY3MTM=,10,Translation : Persian
166,MDU6SXNzdWUyMTM3MzMxMzg=,10,Translation: Greek
117,MDU6SXNzdWUxOTg3MjcxNjI=,10,Translation : Telugu
239,MDU6SXNzdWUyNTE0NzYxNDE=,9,Translation : Malayalam
30,MDU6SXNzdWUxODIxMzA0Nzk=,9,Problem with lynda.com
8,MDU6SXNzdWUxODE1MDA1NzI=,8,Translation to Brazilian Portuguese
506,MDU6SXNzdWU1OTE5ODM3NDM=,7,Translation: Traditional Chinese
243,MDU6SXNzdWUyNTU0Njg1NzY=,7,Need to update? Translation: Chinese
169,MDU6SXNzdWUyMTQ3Nzk1MTA=,7,Call from Google
156,MDU6SXNzdWUyMTA5ODcxNjQ=,7,Translation: Thai
106,MDU6SXNzdWUxOTgyOTc5MzU=,6,Translation: Ukrainian
33,MDU6SXNzdWUxODIzMzY4ODE=,6,Networking and Design Patterns shouldn't be optional.
13,MDU6SXNzdWUxODE1ODMxMzQ=,6,Java
385,MDU6SXNzdWUzNzk0NzMzMTk=,5,Raft consensus protocol
257,MDU6SXNzdWUyNjE4ODc3NTk=,5,Translation: Japanese
82,MDU6SXNzdWUxOTcwNTk0MTU=,5,Hebrew Translation
73,MDU6SXNzdWUxOTYzODg5Mzg=,5,My Getting Started with DigitalOcean Guide
396,MDU6SXNzdWUzODY0NjkyMDI=,4,Image not found : Cannot proxy the given URL
344,MDU6SXNzdWUzMzQ2ODMzNzE=,4,"Question about the ""How to use it"" section"
140,MDU6SXNzdWUyMDIzODE1NDg=,4,Translation: Urdu
113,MDU6SXNzdWUxOTg0MjAwMDI=,4,Translation: Brazilian Portuguese
104,MDU6SXNzdWUxOTgyNjI1MDQ=,4,Dynamic Programming is important!
40,MDU6SXNzdWUxODMyMjA1NDM=,4,Please add free and always-available public video sources
7,MDU6SXNzdWUxODE0OTE4MTg=,4,Did you end up at Google
414,MDU6SXNzdWU0MjM1NDUxOTM=,3,'Big And Little Endian' link is 403 forbidden
403,MDU6SXNzdWUzOTQ4MTgwNzE=,3,Question: Python or Java for Coding interview
368,MDU6SXNzdWUzNzE2NzI3MDI=,3,Algorithms Sedgewick and Wayne (Video resource)
286,MDU6SXNzdWUyODIzNjQyMjg=,3,Translation: Burmese
172,MDU6SXNzdWUyMTUyMjMwNjQ=,3,1441 linter warnings for README.md
24,MDU6SXNzdWUxODE4NzY2MzU=,3,Made by Google Announcement video made private
520,MDU6SXNzdWU2MTE4ODAzODk=,2,Translation: Khmer (Cambodia)
433,MDU6SXNzdWU0NjQ3ODM4NDQ=,2,Translation: German
413,MDU6SXNzdWU0MjE5NTY0Mzk=,2,Anki flashcards don't have newline (esp. in code)
404,MDU6SXNzdWUzOTUyMjQ1Njk=,2,"Link to ""Orders of Growth (video)"" and ""Asymptotics (video)"" in ""Algorithmic complexity / Big-O / Asymptotic analysis"" section needs modification."
400,MDU6SXNzdWUzOTE4MDU4MTU=,2,Tail Recursion Youtube Video Link Broken
384,MDU6SXNzdWUzNzk0NTMwODU=,2,Jeff H Sipe YouTube channel is useful
